age,Sex,Family,nameofcancer,agecancer,whoaffected,dept,post,dgraduation,selfcanh,nameselfcan,durationscan,awarnesscans,namecancers,usefullnesscansc,breastcansc,agebrcans,brcansi,attbrcans,brcaprac,doBSE,bseinterval,mamography,inmamo,brcanscfam,famlibrcansc,brcanspa,brcanscptin,cercans,agecer,intercer,atticer,viapap,viado,intervia,cerfami,interfamcer,cerviscpt,intercerpt,coloncan,agecolocans,intecolocas,atticolcans,docolonoscopy,intercolonos,colofamily,intercolonfamil,coloncanpt,intercolonspt,proscans,ageproscs,interproscs,attiproscs,psadre,interpsadre,familyproscs,iprosf,proscansp,interprospt
40,1,2, , , ,4,6,12,2, , ,1,memogr,1,1,25,3,1,1,1, ,2, ,1,3,1,3,1,21,3,1,1,1,3,1,3,1,3,1,30,3,1,2, ,2, ,2, ,1,35,3,2,2, ,2, ,2, 
39,1,2, , , ,10,8,8,2, , ,1, ,1,1,24,3,1,1,1,2,1,2,1,3,1,3,1,21,3,1,1,1,3,1,3,1,3,1,40,5,1,2, ,1,3,1,3,1,30,5,1,1,3,1,3,1,3
34,2,2, , , ,11,8,8,2, , ,2, ,1,1,21,3,1,1,2, ,2, ,1,3,1,3,1,21,3,1,1,2, ,1,3,1,3,1,40,4,2,2, ,2, ,2, ,1,40,5,1,2, ,2, ,2, 
39,1,2, , , ,20,6,10,2, , ,1, ,1,1,20,2,2,1,2, ,2, ,2, ,2, ,2,30,5,2,2,2, ,2, ,2, ,1,40,5,2,2, ,2, ,2, ,1,40,3,1,1,3,1,2,1,2
36,1,2, , , ,1,8,9,2, , ,2, ,1,1,30,5,1,2,2, ,2, ,2, ,2, ,1,40,3,1,2,2, ,2, ,2, ,1,40,3,1,2, ,2, ,2, ,1,45,5,2,2, ,2, ,2, 
50,1,2, , , ,1,2, ,2, , ,1, ,1,1,25,3,1,1,2, ,2, ,1, ,1, ,1,22,25,1,1,2, ,2, ,2, ,1,45,5,1,2, ,2, ,2, ,1,45, ,1,1, ,2, ,2, 
38,2,2, , , ,20,7,8,2, , ,1, ,1,1,24,3,1,1,2, ,2, ,1,3,1,3,1,21,4,1,1,2, ,1,5,1,5,1,30,5,1,2, ,2, ,2, ,2, , , ,2, ,2, ,2, 
40,2,1,breast,30, ,20,3,17,1,breast, ,1, ,1,1,25,3,1,1,2, ,2, ,1, ,1, ,1,21, ,1,1,2, ,1, ,1, ,2, , ,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
34,1,2, , , ,12,8,7,2, , ,2, ,1,1,21,2,1,2,2, ,2, ,1,2,1,2,1,25,2,1,2,2, ,2, ,2, ,1,25,2,2,2, ,2, ,2, ,2, , , , , , , , , 
39,1,2, , , , ,4,10,2, , ,1,breast,1,1,35,5,1,2,2, , , ,1,5,1,5,1,25,3,1,2,2, ,1, ,1, ,1,30,3,1,2, ,1, ,1, ,1,40,2,1,2, ,1,2,1,2
34,2,2, , , ,10,8,6,2, , ,2, ,1,1,30, ,1,1,2, , , ,1, ,1, ,1,23,5,2,2,2, ,2, ,2, ,2,45,3,2,2, ,2, ,2, ,2, , , , , , , , , 
35,1,2, , , ,2,8,8,2, , ,1, ,1,1,25,3,1,1,2, , , ,1,3,1,3,1,25,5,1,1,2, ,1, ,1, ,1,45,3,1,2, ,1,3,1,3,1,40,5,1,1,5,1,5,1,5
34,1,2, , , , ,8,6,2, , ,1,breast,1,1,25,3,1,1,2, ,2, ,1,3,1,3,1,40,5,1,2,2, ,2, ,2, ,1,40,5,1,2, ,1,5,1,5,1,30,3,1,2, ,2, ,2, 
44,1,2, , , , ,2,14,2, , ,1, ,1,1,25,3,1,1,2, ,2, ,2, , , ,1,35,2,1,2,1, ,2, ,2, ,2, , ,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
41,2,1,prostate,50,sister,3,5,14,1,prostate,6,1,prostate,1,2, , ,1,1,1, ,1, ,1, ,1, ,2, , ,1,1,2, ,2, ,1, ,2, , ,1,2, ,1, , , ,1,40,1,1,1,1,1,1,1,1
 ,1,2, , , , ,7,5,1,larynx, ,3, , ,1,40,1,1,1,1, ,2, ,2, ,1, ,2,30,5,1,1,2, ,2, ,2, ,1,45,10,1,1, ,2, ,2, ,1,40,1,1,2, ,2, ,2, 
40,1,2, , , , ,2, ,1, , ,2, ,2,1,40,1,1,2,2, ,2, ,1, ,1, ,1,30,3,1,1,2, ,1, ,2, ,1,50,5,1,2, ,2, ,2, ,1,50,3,1,2, ,2, ,1, 
28,1,1,tongue,38,mother,5,7,2.5,2, , ,1,breast,1,1,40,2,1,1,2, ,2, ,1, ,1, ,1,21,5,1,1,2, ,1, ,1, ,1,45,3,1,2, ,1, ,1,1,1,50,2,1,2, ,2, ,2, 
30,1,2, , , ,5,7,6,2, , ,1, ,1,1,40,2,1,1,2, ,2, ,1, ,1, ,1,21,4,1,1,2, ,1,3,1,3,1,45,10,1,2, ,1, ,1, ,1,50,2,1,2, ,2, ,2, 
28,2,2, , , , , ,2,1,HCC,6,1, ,1,1,40,1,1,1,1,3,1,2,1, ,1, ,1,25,3,1,1,2, ,2, ,1, ,1,45,2,1,2, ,2, ,1,2,2,50, ,1,2, ,2, ,1, 
 ,1,1, , , ,2,6,24,1, , ,1,cervix,1,1,40,1,1,1,1, ,2, ,2, ,2, ,1, , ,1,1,2, ,1, ,2, ,1, , ,1,2, ,2, ,2, ,1, , ,1,2, ,2, ,2, 
 ,1,1, , ,father,2,1,36,1, , ,1,breast,1,1, , ,1,1,1, ,2, ,2, ,2, ,1, , ,1,1,2, ,1, ,2, ,1, , ,1,2, ,2, ,2, ,1, , ,1,2, ,2, ,2, 
27,2,2, , , , ,8, ,2, , ,1, ,1,1,15,.5,1,1,1, ,1, ,1, ,1, ,1,15,18,1,1,1, ,1, ,1, ,2, , ,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
32,2,2, , , , ,6, ,2, , ,1, ,1,1,15,.5,1,1,1, ,1, ,1, ,1, ,1,15,1,1,1,1, ,1, ,1, ,2, , ,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
27,2,2, , , , ,8, ,1, , ,1,cervix, ,1,15,.5,1,1,1, ,1,.5,1,1,1,1,1,25,1,1,1,1, ,1,1,1, ,2, , ,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
 ,2,2, , , , ,7, ,2, , ,1,cervix,1,2, , ,1,1,1,.5,1,1,2, ,2, ,1,35, ,1,1,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
44,2,2, , , , ,3, ,2, , ,2, ,1,1,40,3,1,1,1, ,2, ,2, ,1, ,1,30,5,1,1,2, ,2, ,1, ,1,45,10,1,2, ,2, ,2, ,1,40,3,1,2, ,2, ,2, 
33,1,2, , , ,2,7,7,2, , ,2, ,1,1, ,1,1,1,2, ,2, ,2, ,1, ,1,40,3,1,1,2, ,2, ,2, ,1,45,10,1,2, ,2, ,1, ,1,50,10,1,2, ,2, ,2, 
64,1,1, ,70,Brother, ,2,4,1,liver, ,3, , ,1,40,2,1,1,2, ,2, ,2, ,2, ,1,18,1,1,1,2, ,2, ,2, ,1,40,2,1,2, ,1, ,2, ,1,60,2,1,1, ,2, ,1, 
65,1,1,breast,38,wife, ,2, ,2, , ,3, ,1,1,40,2,1,1,2, ,2, ,2, ,2, ,1,18,1,1,1,2, ,2, ,2, ,1,40,2,1,2, ,1, ,2, ,1,60,2,1,1, ,2, ,1, 
25,2,2, , , , , ,8,2, , ,1, ,1,2, , ,1,2,1, ,1, ,1, ,1, ,2, , ,1,2,1, ,1, ,1, ,2, , ,1,2, ,1, ,1, ,2, , ,1,1, ,1, ,1, 
26,1,2, , , , ,9,.5,2, , ,4, , ,1, ,1,1,1,1, ,2, ,2, ,2, ,2, , ,1,1,2, ,2, , , ,2, , ,2,2, ,1, , , ,2, , ,1,1, ,2, ,2, 
60,1,2, , , ,6, ,34,1, , ,2, ,2,2, , ,2,2,2, ,2, ,2, , , ,2, , ,1,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
30,2,2, , , ,15,8,5,2, , ,1, ,1,1,20,1,1,2,2, ,2, ,2, ,1, ,1,30,1,1,1,2, ,2, ,1, ,1,35,2,1,2, ,2, ,2, ,1,40,2,1,2, ,2, ,2, 
38,1,2, , , ,9,3,14,2, , ,1,bone,1,1,40,3,1,1,2, ,1,2,1,2,1,2,1,25,3,1,1,2, ,2, ,1,5,1,45,10,1,2, ,2, ,1,10,1,40,2,1,1,2,1,2,1,2
26,2,2, , , ,9,9, ,2, , , , , , , , ,1,1,2, ,2, ,2, ,2, ,2, , ,1,1,2, ,2, ,2, , , , ,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
27,2,1,breast,55,aunty,18,8, ,2, , ,1, ,1,1, , ,1,2,2, ,2, ,2, ,2,1,1, , ,1,1,2, ,2, ,2, ,1, , ,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
29,2,2, , , ,19,8, ,2, , ,1, ,2,1,40,2,1, ,2, ,2, ,2, ,2, ,1,29,3,1,1,2, ,2, ,2, ,2,45, ,1,2, ,2, ,2, ,2,55,10,2,2, ,2, ,2, 
35,2,2, , , ,19,3, ,1, , ,1, ,2,1,40,2,1,2,2, ,2, ,2, ,2, ,1,29,3,1,1,1, ,2, ,2, ,2,45,1,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
64,1,1,colon,54,fathar, ,1,40,2, , ,2, ,1,2, , ,1,2,1, ,2, ,2, ,2, ,2, , ,1,1,1, ,2, ,2, ,2, , ,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
29,2,2, , , ,18,8,5,2, , ,1, ,1,1,25,3,1,1,1, ,2, ,1, ,2, ,1,21,3,1,1,2, ,2, ,1,3,1,45,3,1,2, ,2, ,2, ,1,50,2,1,2, ,2, ,1, 
32,2,2, , , ,18,8,5,2, , ,1, ,1,1,25,3,1,1,2, ,2, ,2, ,1, ,1,21,3,1,1,2, ,1, ,1,3,1,45,6,1,2, ,2, ,2, ,1,50,2,1,2, ,2, ,1, 
29,2,2, , , ,16,8,3,2, , ,1,cervical,1,1,40,3,1,1,1, ,1,1,2, ,1,1,1, ,3,1,1,2, ,2, ,1,3,1,45,2,1,2, ,2, ,2, ,1,50,5,1,2, ,2, ,2, 
28,2,2, , , ,18, , ,2, , ,1,cervical,1,1,25,5,1,1,2, ,2, ,1,3,1,5,1,30,5,1,1,2, ,2, ,1,5,1, , ,1, , ,2,3,2, ,1,45,2,1,2, ,2, ,1,2
27,2,1,lang,55,uncle,18,8,3,2, , ,1,cervical,1,1,30,2,1,1,1,3,2, ,1,3,1,3,1,21,3,1,1,2, ,2, ,1,3,1,45,10,1,2, ,2, ,1, ,1,50,2,1,1,2,2, ,2, 
29,1,2, , , ,14,8,5,2, , ,2, ,2,1,15,2,1,1,2, ,2, ,1,2,1,2,1,25,1,1,1,2, ,1, ,1, ,2, , ,2,2, ,2, ,2, ,1,50,1,2,2, ,1,1,1,1
45,2,2, , , ,14,2,5,2, , ,1,cervical,1,1,40,1,1,2,2, ,2, ,2, ,2, ,1,25,3,1,1,1, ,2, ,2, ,1,50,10,1,2, ,2, ,2, ,1,40,1,1,2, ,1, ,2, 
 ,2,1,laryngea, ,uncle, ,3, ,1,laryngea,14,1, ,1,1,20,1,1,1,2, ,2, ,2, ,2, ,1, ,3,1,1,2, ,2, ,1, ,2, , ,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
38,2,2, , , ,14,3,6,2, , ,1, ,1,1,14, ,1,1,1, ,2, ,1, ,1, ,1,16, ,1,1,1, ,2, ,1, ,1,30, ,1,2, ,1, ,1, ,1,50, ,1,2, ,1, ,1, 
26,1,1,lever,60,husbent,21,9,5,2, , ,1, ,1,1,30,1,2,2,1, ,2, ,2, ,1, ,2, , ,1,1,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
29,2,1,breast,60,g-mother, ,8, ,2, , ,1,breast,1,1,30,1,1,1,1, ,2, ,1, ,1, ,1,25,3,1,1,2, ,1, ,1, ,1, , ,1,1, ,2, ,2, ,1,50,4,1,1, ,1, ,2, 
30,1,2, , , ,15,8,5,2, , ,2, ,1,1,30, ,1,1,2, ,2, ,2, ,2, ,1,21,3,1,1,2, ,2, ,2, ,1,45, ,1,2, ,2, ,2, ,1,50,1,1,1, ,2, ,2, 
30,1,2, , , ,16, ,5,2, , ,1, ,1,1,30, ,1,1,2, ,2, ,2, ,2, ,1,45,3,1,1,2, ,2, ,2, ,1, , ,2,2, ,2, ,1, ,1, , ,2,2, ,2, ,2, 
31,2,2, , , ,16,8,8,2, , ,1, ,1,1,25, ,1,1,2, ,2, ,2, ,2, ,1,25,3,1,1,2, ,2, ,2, ,1,45,5,1,2, ,2, ,2, ,1,45,1,1,2, ,2, ,2, 
28,1,1,leukemia,55,g-mother,17, ,2,2, , ,1,cervical,1,2, , ,1,1,2, ,2, ,2, ,2, ,1,45,3,1,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, ,1, , ,1,2, ,2, ,2, 
43,2,1,lung,60,father,16, ,2.5,2, , ,1,cervical,1,1,35,2,1,1,2, ,2, ,2, ,1, ,1,35,1,1,1,2, ,2, ,2, ,1,30,1,1,2, ,2, ,2, ,1,40,2,1,2, ,2, ,2, 
58,1,1,prostate, ,father,20,1,32,2, , ,1,breast,1,1, ,1,1, , , , , ,1,1,2, ,2, , ,1,1, , ,1, ,2, ,2, , ,1,2, ,2, ,1, ,2, , ,1,2, ,2, ,2, 
27,2,2, , , ,16,8,3,2, , ,2,cervical,1,1,16,1,1,1,1, ,2, ,1, ,1, ,1,30,1,1,1,2, ,2, ,1, ,2, , ,1,2, ,2, ,2, ,1, , ,1,2, ,2, ,1, 
34,2,2, , , ,19,8, ,2, , ,1, ,2,1,40,2,1,2,2, ,2, ,2, ,2, ,1,25,3,1,1,2, ,2, ,2, ,2,45, ,1,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
 ,2,2, , , ,19,8,5,2, , ,1, ,2,1,40,2,1,2,2, ,2, ,2, ,2, ,1,21,3,1,1,2, ,2, ,2, ,2,45,10,1,2, ,2, ,2, ,1,55,3,2,2, ,2, ,2, 
65,1,2, , , ,8,1, ,1,prostate, ,1, ,1,1,25,3,1,1,1, ,1, ,1, ,1, ,1,21,3,1,1,2, ,1, ,1, ,1,40,10,1,1, ,2, ,1, ,1,50,1,1,1, ,2, ,1, 
36,2,2, , , ,20,3,13,2, , ,1, ,1,1,25,6,1,1,1, ,2, ,1, ,1, ,1,21,3,1,1,2, ,2, ,1,3,1,45,10,1,2, ,2, ,1,3,1,50,2,1,2, ,1,1,1,2
27,1,2, , , ,20,3,2,2, , ,1, ,1,1,25, ,1,1,2, ,1, ,1, ,1, ,2, , ,1,1,2, ,2, ,1, ,2, , ,1,2, ,2, ,2, ,1, , ,1,2, ,2, ,1, 
32,2,2, , , ,20,3,8,2, , ,1, ,1,1,25,2,1,1,1, ,2, ,1, ,1, ,1,21,3,1,1,2, ,2, ,1,3,1,45,3,1,2, ,2, ,1,3,1,55,2,1,2, ,2, ,1,2
34,2,2, , , ,20,3,6,2, , ,1, ,1,1,25,2,1,1,1, ,2, ,1, ,1, ,1,21,3,1,2,2, ,1, ,1,3,1,45,3,1,2, ,2, ,1,3,1,55,2,1,2, ,2, ,1,2
29,2,2, , , ,20,3,6,1,CML, ,1,breast,1,1,25,3,1,1,1, ,2, ,1, ,1, ,1,21,3,1,1,2, ,2, ,1,3,1,45,3,1,2, ,2, ,1,3,1,55,2,1,2, ,2, ,1,1
31,2,2, , , ,20,3,6,1,breast, ,1, ,1,1,25,3,1,1,1, ,2, ,1, ,1, ,1,21,3,1,1,2, ,1,3,1,3,1,45,3,1,2, ,2, ,1,3,1,55,2,1,2, ,1,1,1,1
31,1,1,trachcal,52,g-father,2,7,6,2, , ,2, ,1,1,40,1,1,2,2, ,2, ,1,1,1,1,1,40,3,1,2,2, ,2, ,1, ,1,45,10,1,1, ,1, ,1, ,1,50, ,1,1, ,2, ,1, 
26,2,2, , , ,2,8,2,2, , ,1, ,1,1,14,1,1,1,2, ,1,1,2, ,1, ,1,40,3,1,1,2, ,2, ,1, ,1,45,10,1,2, ,2, ,1, ,1,65,2,1,1, ,2, ,1, 
32,1,1, ,50,uncle, ,6,6,1, , ,1, ,1,1,14,1,1,1,2, ,2, ,2, ,2, ,2, , ,1,1,1, ,2, ,2, ,1,45,10,1,1, ,2, ,1, ,1,50,2,1,1, ,2, ,1, 
27,1,2, , , ,7,8,2.5,2, , ,1, ,1,1,40,3,1,1,2, ,2, ,1, ,1,3,1,25,3,1,1,2, ,2, ,1, ,1,45,10,1,1, ,2, ,2, ,1,50,4,1,1, ,2, ,2, 
 ,1,1,colon,55,father,2,3,3,1,colon, ,1,colon,1,1,20,1,1,1,1, ,1, ,2, ,2, ,1, , ,1,1,1, ,2, ,2, ,1, , ,1,1, ,2, ,2, ,1, , , , , , , , , 
32,1,2, , , ,1,8,5,1, , ,1, ,1,1,40,2,1,1,1,1,1,2,2, ,2, ,1,21,3,1,1,1, ,1, ,1, ,1,45,10,1,1, ,1, ,1, ,1,55,2,1,1, ,1, ,1, 
27,2,2, , , ,1,8,1,2, , ,2, ,1,2, , ,1,2,2, ,2, ,1, ,1, ,2, , ,1,1,2, ,2, ,1, ,2, , ,2,1, ,1, ,1, ,2, , ,1,1, ,1, ,1, 
28,1,2, , , , ,8, ,2, , ,1, ,1,1,40,1,1,1,2, ,2, ,2, ,2, ,1,18,5,1,1,2, ,2, ,2, ,1,45,5,1,1, ,2, ,1, ,1,40, ,1,1, ,2, ,2, 
30,1,2, , , ,4,7, ,2, , , , , ,1, , , ,1, , ,1, ,1, ,1, ,2, , ,2,2,2, ,1, ,1, ,2, , , ,2, ,2, ,2, ,2, , , ,2, ,2, ,2, 
53,1,2, , , , ,1, ,2, , ,1, ,1,2, , , ,1, , , , , , ,2, ,2, , ,1,1, , ,1, , , ,2, , ,1,1, ,1, ,1, ,2, , ,1, , ,1, , , 
26,2,2, , , ,4,8,2,1, , ,1, ,1,1,15,1,1,2,2, ,2, ,2, ,1, ,1,15, ,1,1,2, ,1, ,1, ,2, , ,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
28,2,2, , , ,4,7,4,2, , ,1, ,1,1,2,2,1,1,1, ,2, ,1, ,1, ,2, , ,1,1,2, ,1, ,2, ,2, , ,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
31,2,2, , , ,4,6,6,2, , ,1, ,1,2, , ,1,1,2, ,2, ,2, ,2, ,2, , ,1,1,2, ,2, ,2, ,1, , ,1,1, ,2, ,2, ,1, , ,1,1, ,2, ,2, 
48,2,2, , , ,4,2,22,2, , ,1, ,1,2, , ,1,1, , , , ,1, ,2, ,1, , ,1,1,2, ,1, ,2, ,2, , ,1,1, ,2, ,2, ,1,50, ,1,2, ,2, ,2, 
50,2,1, , ,sister, ,2,12,2, , ,1, ,1,2, , ,1,1,2, , , ,1, ,2, ,2, , ,1,1,1, ,2, ,2, ,2, , ,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
30,1,2, , , ,2,7,4,2, , ,1, ,1,2, , ,1,2,2, , , ,2, ,2, ,2, , ,1,1,2, ,2, ,2, ,2, , ,1,1, ,2, ,1, ,2, , ,1,1, ,2, ,2, 
29,1,2, , , ,2,8,3,1,breast,2,1,breast,1,1,40,1,1,1,2, ,2, ,2, ,1, ,1,18,1,1,1,1, ,1, ,1, ,2, , ,1,1, ,1, ,1, ,2, , ,1,2, , , , , 
26,2,2, , , ,21, ,5,2, , ,1,cervix,1,1,40,3,1,2, , ,1,3,2, , , ,1, ,3,1,1,2, ,2, ,1, ,1,55, ,2,2, ,2, ,2, ,1,50, ,1,1, ,2, ,2, 
40,2,1,leukamia,20,aunty,21,8,6,2, , ,2, ,1,1,30,1,1,1,1,1,1,1,1,1,1, ,1,25,3,1,1,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, ,1,50,4,1,1, ,2, ,2, 
64,1,2, , , ,17,2,29,1,oesopheg,20,1,cervical,1,2, , ,1,1,2, ,2, ,1, ,1, ,1,20,3,1,1,1,5,1, ,1, ,2, , ,2,2, ,2, ,1, ,1,10,3,2,2, ,2, ,1, 
32,2,2, , , ,16,8,5,2, , ,1,breast,1,1,40,1,1,2,2, ,2, ,1,1,2, ,1,25,3,1,1,2, ,2, ,2, ,1,45, ,1,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
27,2,1,colon,45,father,16,8,3,2, , ,1,cervix,1,1,16,1,1,1,1, ,2, ,1, ,1, ,1,30,1,1,1,2, ,2, ,1, ,1, , ,1,2, ,2, ,2, ,1, , ,1,2, ,2, ,1, 
68,1,2, , , ,16,1,42,2, , ,1,cervical,1,1,40,1,1,1, , , , ,2, ,1, ,1,21,5,1,1, , ,2, ,1, ,1,45,1,1,2, ,2, ,1, ,1,40,1,1,1, ,1, ,1, 
48,1,2, , , ,21,2,2,2, , ,1,cervical,1,1,35, ,1,1,2, ,2, ,2, ,2, ,1,21,3,1,1,2, ,2, ,2, ,1,50,10,1,2, ,2, ,2, ,1,40,2,1,2, ,2, ,2, 
28,1,2, , , ,14, ,5,2, , ,1, ,1,1,40,2,1,2,2, ,2, ,2, ,2, ,1,20, ,1,1,2, , , ,1, ,2, , ,1,1, ,2, ,1, ,2, , ,1,1, ,2, ,2, 
36,2,2, , , ,14,3,11,2, , ,1,cervical,1,1,40,1,1,2,2, ,2, ,2, ,2, ,1,25,3,1,1,2, ,2, ,2, ,1,50,10,1,2, ,2, ,2, ,1,40,1,1,2, ,2, ,2, 
29,2,2, , , ,19,8, ,2, , ,1,carvical,1,1,40,2,1,2,2, ,2, ,2, ,2, ,1,21,3,1,1,2, ,2, ,2, ,2,45,8,1,2, ,2, ,2, ,2,45,10,2,2, ,2, ,2, 
 ,2,2, , , ,18,3, ,2, , ,1, ,1,1,25,2,1,1,1,2,1,2,1,2,2, ,1,21,3,1,1,1,3,2, ,1,3,1,45,10,1,2, ,2, ,2, ,1,50,2,1,1,2,2, ,1,2
33,1,2, , , ,1,7,5,1, , , , ,1,2, , ,1,1,2, ,2, ,2, ,2, , , , ,1,1,2, ,2, ,2, , , , ,1,2, ,2, ,2, , , , ,1,2, ,2, ,2, 
26,2,2, , , ,1,9,4,2, , , , , ,1,40,1,1,1,1, ,2, ,1, ,1, ,1,21,3,1,1,2, ,2, ,1, ,1,45,10,1,1, ,2, ,1, ,1,40,2,1,2, ,2, ,1, 
33,1,1,breast,41,mather, ,9, ,2, , , , , ,1,40,2,1,1,2, ,2, ,2, ,2, ,1,30,3,1,1,2, ,1, ,2, ,1,40,10,1,2, ,2, ,2, ,1,55,4,1,2, ,2, ,2, 
28,1,2, , , ,11,9,1,2, , , , , ,1,30,5,1,1,2, ,2, ,1, ,1, ,1,25,1,1,1,2, ,2, ,1, ,1,45,10,1,2, ,2, ,1, ,1,50,3,1,1, ,2, ,1, 
27,2,2, , , ,11,8,2,2, , , , , ,1,30,5,1,1,2, ,1, ,2, ,1, ,1,25,1,1,1,2, ,2, ,1, ,1,45,10,1,2, ,2, ,1, ,1,50,3,1,1, ,2, ,1, 
52,1,2, , , ,9, ,16,2, , , , , , , , ,1,2,2, ,2, ,2, ,2, , , , ,1,2,2, ,2, ,2, , , , ,1,2, ,2, ,2, , , , ,1,2, ,2, ,2, 
28,1,2, , , ,11,9,6,1, , , , , ,1,20,2,1,1,2, ,2, ,1, ,1, ,1,25,1,1,1,1, ,1, ,1, ,1,45,3,1,1, ,2, ,1, ,1,50,2,1,1, ,2, ,1, 
36,2,2, , , , ,3,6,2, , ,1, ,1,1,40,2,1,1,1,.5,2, ,1, ,1, ,1,25,5,1,1,1, ,1,3,1,3,1,45,1,1,1,3,1,3,1,3,1,50, ,1,1,2,1,2,1,2
29,2,1,oespoheg,45,uncle, ,8,5,1,oespoheg, ,1, ,1,1, , ,1,1,2, ,1, ,1, ,2, ,1, , ,1,1,2, ,2, ,2, ,2, , , ,2, ,2, ,2, ,2, , , ,2, ,2, ,2, 
38,1,2, , , ,9,6,8,2, , ,1, ,1,1,25,3,1,1,2, ,2, ,1, ,1, ,1,25,4,1,1,2, ,2, ,1, ,1,35,2,1,2, ,2, ,1,2,1,45,1,1,2, ,2, ,1,3
32,1,2, , , ,2,8,4,2, , ,1, ,1,1,21,1,1,1,2, ,2, ,1,1,1,1,1,40,1,1,1,1,2,2, ,1,2,2, , ,1,1,3,2, ,1,3,1,45,4,1,2, ,2, ,2, 
32,2,2, , , ,1,8,6,2, , ,2, ,1,1,23,3,1,2,2, ,2, ,1,4,1,4,1,25,4,1,2,2, ,1,4,1,4,1,40,5,1,2, ,2, ,1,4,1,45,5,2,2, ,2, ,2, 
36,1,2, , , ,1,8,7,2, , ,1, ,1,1,21,1,1,1,1, ,1, , , ,2, ,1,45,2,1,1,1, ,1, ,1, ,1,21,1,1,1, ,1, ,1, ,1,30,3,1,1, ,2, ,2, 
38,1,2, , , ,7,4,10,2, , ,1, ,1,1,20,2,1,1,1, ,1, ,1, ,1, ,1,20,3,1,1,1, ,1, ,1, ,1,35,3,1,1, ,1, ,1, ,1,20,1,1,1, ,1, ,1, 
36,1,1,lung,48, ,7,8,8,1, , ,1, ,1,1,21,1,1,1,1,2,1,2,1,2,1,3,1,25,3,1,1,1, ,1, ,1, ,1,45,3,1,1, ,1, ,1, ,1,30,3,1,1, ,1, ,1, 
38,2,2, , , , ,4,8,2, , ,1,carvix,1,1,23,2,1,2,2, ,2, ,1,1,1,1,1,20,3,1,1,2, ,2, ,2, ,1,30,3,1,1, ,2, ,2, ,1,40,3,1,1,3,1,3,1,3
49,1,1,ovarion,42, ,2,3, ,2, , ,1,breast,1,1,25,3,1,1,2, ,2, ,1,3,1,3,1,20,2,1,1,2, ,1, ,1, ,1,40,3,2,2, ,2, ,2, ,2, , ,2,2, ,2, ,2, 
40,1,2, , , ,5, , ,2, , ,1, ,2,1,20,4,1,1,2, ,2, ,1,4,1,4,2, , ,1,1,2, ,1,2,1,2,1,41,3,1,2, ,1,3,1,3,1,55,4,1,1,4,2, ,2, 
28,2,2, , , , ,8, ,2, , ,1, ,1,2, , ,1,1,2, ,2, ,1, ,1, ,1,15, ,1,2,1, ,1, ,1, ,1, , ,1,1, ,1, ,1, ,1,50, ,1,1, ,1, ,1, 
 ,2,2, , , ,3,3,4,2, , ,1, ,1,1,21,3,1,1,1,1,1, ,1, ,1, ,1,21,3,1,1,1, ,1, ,2, ,1, , , , , , , , , , , , , , , , , , , 
52,2,1,breast,45,mother,3,2,24,1,breast,8, , ,1,1,20,1,1,1,1, ,1, ,1, ,1, ,2, , ,2,2,2, ,2, ,1, ,2, , ,1,2, ,2, ,1, ,2, , ,1,2, ,2, ,1, 
45,1,2, , , ,2,2,16,1,breast,10,1,breast,1,1,20,1,1,1,1,2,1,2,2, ,1,1,1,40,3,1,1,2, ,2, ,2, ,1,45,2,1,2, ,2, ,2, ,1,50,4,1,2, ,2, ,1,2
36,1,2, , , ,2,6,5,2, , ,1,breast, ,1,20,1,1,1,2, ,2, ,1,1,1,1,1,40,1,1,1,1,2,1,2,2, ,2, , ,1,1,3,2, ,1,3,1,45,4,1,2, ,2, ,2, 
34,1,2, , , ,2,6,5,2, , ,1,breast, ,1,20,1,1,1,2, ,2, ,1,1,1, ,1,40,1,1,1,1,2,1,2,2, ,2, , ,1,1,3,2, ,1,3,1,45,4,1,2, ,2, ,2, 
