age,Sex,Family,nameofcancer,agecancer,whoaffected,dept,post,dgraduation,selfcanh,nameselfcan,durationscan,awarnesscans,namecancers,usefullnesscansc,breastcansc,agebrcans,brcansi,attbrcans,brcaprac,doBSE,bseinterval,mamography,inmamo,brcanscfam,famlibrcansc,brcanspa,brcanscptin,cercans,agecer,intercer,atticer,viapap,viado,intervia,cerfami,interfamcer,cerviscpt,intercerpt,coloncan,agecolocans,intecolocas,atticolcans,docolonoscopy,intercolonos,colofamily,intercolonfamil,coloncanpt,intercolonspt,proscans,ageproscs,interproscs,attiproscs,psadre,interpsadre,familyproscs,iprosf,proscansp,interprospt
41,2,2, , , , ,4,12,2, , ,1, ,1,1,25, ,1,2,2, ,1, ,1, ,1, ,2, , ,1,1,1, ,1, ,1, ,2, , ,1,2, ,1, ,2, ,2, , ,1,2, ,2, ,1, 
36,2,2, , , , ,8,8,2, , ,1, ,1,1,25, ,1,2,2, ,1, ,1, ,1, ,2, , ,1,1,1, ,1, ,1, ,2, , ,1,2, ,1, ,2, ,2, , ,1,2, ,2, ,1, 
33,2,2, , , , ,8,8,2, , ,2, ,1,2, , ,1,1,2, ,2, ,1,2,1,1,1, , ,1,1,1,1,2, ,1,1,2, , ,1,2, ,2, ,1,1,1,40,3,1,2, ,2, ,1, 
40,1,2, , , , ,4,12,2, , ,2, ,1,2, , ,1,1,2, , , ,2, ,1,2,1, , ,1,1,1,1,2, ,1,1,2, , ,1,2, ,2, ,1,1,1,40,3,1,2, ,2, ,1, 
37,2,1,prostate,50,sister,3,8,6,1,prostate, ,1,prostet,1,1, , ,2,1,1, ,1, ,1, ,1, ,2, , ,1,1,2, ,2, ,2, ,2, , ,1,2, ,1, ,1, ,1,40,1,1,1,1,1,1,1,1
56,1,2, , , ,5,1, , , , ,1, ,1,1,25,2,1,1,2, ,2, ,1, ,1, ,1,25,4,1,1,2, ,2, , , ,1,35,2,1,2, ,2, ,1,2,1,46,3,1,2, ,2, ,2, 
36,1,2, , , ,7,8,10,2, , ,1, ,1,1,25,2,1,1,2, ,2, ,1, ,1, ,1,25,4,1,1,2, ,2, , , ,1,35,2,1,2, ,2, ,1,2,1,45,3,1,2, ,2, ,2, 
33,1,2, , , ,1,8,6,2, , ,1, ,1,1,25,3,1,1,2, ,2, , , ,1, ,1,40,3,1,1,2, ,2, ,1, ,1,40,4,1,2, ,2, ,1, ,1, , ,1, , , , , , 
36,2,2, , , , ,5,10,2, , ,1, ,1,1,25,2,1,1,2, ,2, ,1, ,1, ,1,30,3,1,1,2, ,2, ,1,2,1,40,3,1,2, ,2, ,1,2,1,41,2,1, , , , , , 
48,2,2, , , ,4,3,19, , , ,1, ,1,1,25,3,1,1,2, ,2, ,1, ,1,1,1,25,3,1,1,2, ,2, , , ,1,25,3,1,2, ,2, , , ,1,40,2,1, , , , , , 
42,1,2, , , ,5,6,14,2, , ,2, ,1,1,19,1,1,2,2, ,2, , , ,1, ,1,1,1,1,2,2, ,2, ,1,2,1,51,4,1,2, ,2, ,1,2,1,41,2,1,2, ,2, ,1,3
38,1,2, , , ,5,6,10,2, , ,1, ,1,1,25, ,1,2,2, ,1, ,1, ,1, ,2, , ,1,1,1, ,1, ,1, ,2, , ,1,2, ,1, ,2, ,2, , ,1,2, ,2, ,1, 
36,2,2, , , ,3,8,8,2, , ,2, ,1,2, , ,1,1,2, ,2, ,1,2,1,1,1, , ,1,1,1,1,2, ,1,1,2, , ,1,2, ,2, ,1, ,1,40,2,1,2, ,2, ,1, 
39,1,2, , , , ,6,10,2, , ,2, ,1,1, , , ,1,1, ,2, ,2, ,1, ,1,25,3,1,1,2, ,2, , , ,1, , ,1,2, ,2, ,1, ,1,40,3,1,1, ,2, ,2, 
42,1,2, , , , ,4, , , , ,2, ,1,1, , , ,1,1, ,2, ,2, ,1, ,1,25,3,1,1, , ,2, ,2, ,1, , ,1,2, ,2, ,1, ,1,40,3,1,1, ,2, ,2, 
45,1,1,cervix,60,mother,10,7,21,1,breast, ,2, ,2,2, , ,2, , , ,1, , , ,1, ,1,40,2,1,1,1, ,1,2,1, ,2, , ,1,2, ,2, , , ,2, , ,1,1, , , , , 
 ,1,1,cervix,60,mother,10,8, ,1, , ,1, ,2,2, , ,2, , , , , ,1, ,1, ,1,40,2,1,1,1, ,1,2,1, ,2, , ,1,2, ,2, , , ,2, , ,1,1, , , , , 
30,2,1,bone cat,51,uncle, ,8,6,2, , ,1," cerv,ov",1,1,30,3,1,1,2, ,1, ,1, ,1, ,1,20,3,1,1,1, ,1, ,1, ,1,40,5,1,2, ,1, ,1, ,1,40,2,1,2, ,1, ,1, 
36,1,2, , , ,1,6, ,2, , ,1, ,1,1,30,3, ,1,2, ,2, , , ,1, ,1, , ,1,2,2, ,2, ,1,2,1,51,4,1,2, ,2, ,1,2,1,41,2,2,2, ,2, ,1,3
36,1, , , , ,1,6, ,2, , ,1, ,1, ,30,3, ,1,2, ,2, , , , , ,1, , ,1,2,2, ,2, ,1,2,1,51,4,1,2, ,2, ,1,2,1,41,2,2,2, ,2, ,1,3
38,1,1,cervix,60,mother, ,4,10,1, , ,1, ,2,2, , ,2,2, , , , , , ,1, ,1,40,2, ,1,1, ,1,2,1, ,2, , ,1,1, ,2, , , ,2, , , ,1, , , , , 
48,1,1,cervix,56, ,12,3,23,2, , ,1, ,1,1,10,1,1,1,2, , , ,2, ,2, ,1,30,1,1,1,2, ,2, ,2, ,1, , ,1,2, ,2, ,2, ,1,50, ,1,1, ,2, ,1, 
36,1,1,bone cat,51, ,10,8,6,1, , ,2,"crv,ovr",1,1,30,3,1,2,1, ,1, ,1, ,1, ,1,20,3,1,1,1, ,1, ,1, ,1,40,5,1,2, ,1, ,1, ,1,41,3,1,2, ,1, ,1, 
36,2, , , , ,12,8,8,2, , ,1, ,1,1,25,3,1,1,2, ,2, , , ,1, ,1,40,3,1,1,2, ,2, ,1, ,1,40,4,1,2, ,2, ,1, ,1, , ,1, , , , , , 
46,1, , , , ,12,3,18,2, , ,1, , ,1,25,3,1,1,2, ,2, ,2, ,2, ,1,36,2,1,2,1, ,2, ,2, ,2, , ,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
42,1, , , , ,11,6,14,1,lung,5,1, ,1,1,25,3,1,1,2, ,2, ,1,2,1,2,2, , ,1,1,2, ,2, ,2, ,2, , ,1,1,2,2, ,2, ,1,45,3, , , , , , , 
39,1,2, , , ,4,5,12,1,lung,52,1, ,1,1,25,3,1,1,2, ,2, ,1,2,1,2,2, , ,1,1,2, ,2, ,2, ,2, , ,1,1,2,2, ,2, ,1,45,3, , , , , , , 
41,1,2, , , , ,5,14,2, , ,2, ,2,1,21,1,1,1,2, ,2, ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,2, ,2, 
36,2, , , , ,3,8,8, , , ,1, ,1,1,25,3,1,1,2, ,2, ,1, ,1,2,1,25,3,1,1,2, ,2, , , ,1,25,3,1,2, ,2, , , ,1,40,2,1,2, ,2, ,1, 
49,1,2, , , , ,3,21,2, , ,1, ,1,1,25,2,1,1,2, ,2, ,1, ,1, ,1,30,3,1,1,2, ,2, ,2,2,1,40,3,2,2, ,2, ,2,2,1,40,2,1,2, ,2, ,1, 
36,1,2, , , ,4,8,9, , , ,1, ,1,1,25,3,1,1,2, ,2, ,1, ,1,2,1,25,3,1,1,2, ,2, ,1, ,1,25,3,1,2, ,2, ,1, ,1,40,2,1,2, ,2, ,1, 
42,1,2, , , ,9,4,14,2, , ,2, ,1,2, , ,1,1,2, ,2, ,1,2,1,1,1, , ,1,1,2,1,2, ,1,1,2, , ,1,2, ,2, ,1, ,1,40,2,1,2, ,2, ,1, 
42,2,2, , , , ,4,14,2, , ,1, ,1,1,25,2,1,1,2, ,2, ,1, ,1, ,1,30,3,1,1,2, ,2, ,1,2,1,40,3,1,2, ,2, ,1,2,1,41,2,1,2, ,2, ,1, 
56,2,1,ovario,50,sister, ,3, ,1, ,5,1, ,1,1, , ,1,1,2, ,1, ,1, ,1, ,1, , ,1,1,1, ,2, ,2, ,1, , , ,1, ,2, ,2, ,1, , ,1,2, ,1, ,1, 
57,1,2, , , ,1,2, ,2, , ,1, ,1,1, , ,1, , , ,1, ,1, ,1, , , , ,1,1,2, ,2, ,1, ,1, , ,1, , ,2, ,1, ,1,60, ,1,1, ,1, ,1, 
42,1,2, , , , ,4,18,2, , ,1, ,1,1, , ,1,1, , , , , , , , , , , , , , , , , , , ,1,40,5,1,2, ,2, ,2, ,2, , ,1,1, ,2, ,2, 
49,1,2, , , ,2,3,24,2, , ,1, ,1,1,20,5,1,1, , , , ,2, ,1, ,1,30,5,1,1, , ,2, ,1, ,1,40,1,1,2, ,2, ,2, ,1,50,5,1, , , , , , 
36, ,2, , , , ,8,8,2, , ,1, ,1,1,21,3,1,2,2, , , ,2, ,2, ,1,25,2,1,1,2, ,2, ,1, ,1,30,1,1,2, ,2, ,2, ,1,45,3,1,2, ,2, ,2, 
53,2, , , , ,4,1, ,2, , ,1, ,1,1,23,1,1,2,2, ,1,3,1,3,1,3,1,21,2,1,1,2, ,1, ,2, ,1,30,3,1,1, ,2, ,1,3,1,45,5,2,2, ,1, ,1, 
36, ,2, , , ,4,8,7,2, , ,1, ,1,1,25,2,1,2,2, ,1,2,1,2,1,2,1,25,3,1,1,2, ,1,2,1,2,1,30,3,1,2, ,2, ,2, ,1,50,2,1,2, ,2, ,2, 
41, ,2, , , ,4,6,12,1, , ,1, ,1,1,23,5,1,2,2, ,2, ,1,3,1,3,1,25,2,1,1,2, ,1,2,1,2,1,25,3,2,2, ,1,2,1,2,1,40,3,2,1, ,2, ,2, 
39, ,2, , , ,10,8,12,2, , ,1, ,1,1,25,3,1,1,2, ,1, ,1,3,1,3,1,21,2,1,1,2, ,1,1,1,1,1,30,4,1,2, ,1,2,1,2,1,50,2,2,2, ,2, ,2, 
49,1,2, , , , ,2, ,1, , ,1,colon,1,1,25, ,1,2,2, ,2, ,2, ,2, ,1,30, ,1,1,2, ,2, ,2, ,1, , ,1,2, ,2, ,2, ,1,50,2,1,2, ,2, ,2, 
 ,1,2, , , , ,1, ,1,cervix, ,1, ,1,1,30,3,1,1,1, ,3, ,1,3,1,3,1,21,3,1,1,1,3,1,3,1,3,1,40,5,1,2, ,1,5,1,5,1,45,5,2,2, ,2, ,2, 
33,2,2, , , ,2,8,6,2, , ,2, ,1,1,25,3,1,1,2, ,2, ,1,3,1,3,1,21,3,2,2,2, ,1,3,1,3,1,45,3,1,2, ,2, ,1,3,1,45,2,1,2, ,1,3,1,3
34,1,2, , , ,12,8,6,2, , ,1,breast,1,1,30,4,2,2,2, ,2, ,1,3,1,3,1,30,3,1,1,2, ,2, ,2, ,1,30,3,1,2, ,2, ,2, ,1,45,5,2,2, ,1, ,1, 
36,1,2, , , ,12,6,9,2, , ,1,breast,1,1,25,3,1,1,1,3,1,3,1,2,1,2,1,21,3,1,2,2, ,1,3,1,3,1,45,3,1,2, ,1,3,1,3,1,50,1,1,2, ,1,1,1,1
46,2,2, , , ,12, ,18,2, , ,1,colon,1,1,25,3,1,2,2, ,1,3,1,3,1,3,1,21,3,1,1,2, ,1,2,1,2,1,40,2,1,1, ,1,2,1,2,1,50,2,1,2, ,2, ,2, 
42,2,2, , , , ,4,14,2, , ,1,breast,1,1,20,1,1,1,2, ,2, ,1, ,1,1,1,40,1,1, , , ,1,2,2, ,2, , ,1,1, ,1,3, , ,1,45,4,1,2, ,2, ,2, 
 ,2,2, , , ,2,6,5,2, , ,1,breast,1,1,20,1,1,1,2, ,2, ,1, ,1,1,1,40,1,1, ,1, ,1,2,2, ,2, , ,1,1, ,1,3,1, ,1,45,4,1,2, ,2, ,2, 
46,1,2, , , ,7,3,18,2, , ,1, ,1,1,30,3,1,1,2, ,2, , , ,1, ,1,35,3,1,1,2, ,2, ,1,3,1,40,4,1,2, ,2, ,1,3,1, , ,1,2, ,2, ,2, 
 ,2,2, , , , ,8, ,2, , ,1, ,1,1,30,3,1,1,2, ,2, , , ,1, ,1,35,3,1,1,2, ,2, ,1,3,1,40,4,1,2, ,2, ,1,3,2, , ,1, , , , , , 
40,1,2, , , , ,6,12,2, , ,2, ,1,1,20,4,1,1,2, ,2, ,2, ,2, ,1,35,4,1,1,2, ,2, ,2, ,1,30,3,1,2, ,2, ,2, ,1,30,2,1,2, ,2, ,2, 
42,1,2, , , ,1,5,12,2, , ,2, ,1,1, , ,1,1, , ,1, ,1, ,1, ,2, , ,1,1,1, ,1, ,2, ,2, , ,1,2, ,1, ,2, ,2, , ,1,2, ,2, ,1, 
 ,1,2, , , , ,6, ,2, , ,2, ,1,1, , ,1,2,1, ,1, ,1, ,1, ,2, , ,1,1,1, ,1, ,2, ,2, , ,1,2, ,1, , , ,2, , ,1,2, ,2, ,1, 
39,1,2, , , ,10,7,8,2, , ,2, ,2,1,2, , ,1,2, ,2, ,1,1,2, ,1,50,4, ,1,2, ,2, ,2, ,1,40,3,1,1,2,2, ,2, ,1,45,2,1,2, ,2, ,2, 
36,1,2, , , ,4,8, ,2, , ,2, ,2,1, , ,2,1,1, , , ,2, ,2, ,2,50, ,2,1,2, ,2, ,2, ,1,40,3,1,1, ,2, ,2, ,1,35,2,1,2, ,2, ,2, 
 ,1,2, , , ,11,8, ,2, , ,2, ,2,2, , ,1,1,2, ,2, ,1,1,2, ,1,50,4,1,2,2, ,2, ,2, ,1,40,3,1,1,2,2, ,2, ,1,35,2,1,2, ,2, ,2, 
 ,1,2, , , , ,4, ,2, , ,1, ,1,1,30,4,1,2,2, ,2, ,2, ,2, ,2, , ,1,1,2, ,2, ,2, ,1,25,3,1,2, ,2, ,2, ,2, , ,1,2, ,2, ,2, 
